32   0.0 0.1 0.0 20
33 ! 0.1 0.2 0.0 20
34 " 0.2 0.3 0.0 20
35 # 0.3 0.4 0.0 20
36 $ 0.4 0.5 0.0 20
37 % 0.5 0.6 0.0 20
38 & 0.6 0.7 0.0 20
39 ' 0.7 0.8 0.0 20
40 ( 0.8 0.9 0.0 20
41 ) 0.9 1.0 0.0 20
42 * 0.0 0.1 0.1 20
43 + 0.1 0.2 0.1 20
44 , 0.2 0.3 0.1 20
45 - 0.3 0.4 0.1 20
46 . 0.4 0.5 0.1 20
47 / 0.5 0.6 0.1 20
48 0 0.6 0.7 0.1 20
49 1 0.7 0.8 0.1 20
50 2 0.8 0.9 0.1 20
51 3 0.9 1.0 0.1 20
52 4 0.0 0.1 0.2 20
53 5 0.1 0.2 0.2 20
54 6 0.2 0.3 0.2 20
55 7 0.3 0.4 0.2 20
56 8 0.4 0.5 0.2 20
57 9 0.5 0.6 0.2 20
58 : 0.6 0.7 0.2 20
59 ; 0.7 0.8 0.2 20
60 < 0.8 0.9 0.2 20
61 = 0.9 1.0 0.2 20
62 > 0.0 0.1 0.3 20
63 ? 0.1 0.2 0.3 20
64 @ 0.2 0.3 0.3 20
65 A 0.3 0.4 0.3 20
66 B 0.4 0.5 0.3 20
67 C 0.5 0.6 0.3 20
68 D 0.6 0.7 0.3 20
69 E 0.7 0.8 0.3 20
70 F 0.8 0.9 0.3 20
71 G 0.9 1.0 0.3 20
72 H 0.0 0.1 0.4 20
73 I 0.1 0.2 0.4 20
74 J 0.2 0.3 0.4 20
75 K 0.3 0.4 0.4 20
76 L 0.4 0.5 0.4 20
77 M 0.5 0.6 0.4 20
78 N 0.6 0.7 0.4 20
79 O 0.7 0.8 0.4 20
80 P 0.8 0.9 0.4 20
81 Q 0.9 1.0 0.4 20
82 R 0.0 0.1 0.5 20
83 S 0.1 0.2 0.5 20
84 T 0.2 0.3 0.5 20
85 U 0.3 0.4 0.5 20
86 V 0.4 0.5 0.5 20
87 W 0.5 0.6 0.5 20
88 X 0.6 0.7 0.5 20
89 Y 0.7 0.8 0.5 20
90 Z 0.8 0.9 0.5 20
91 [ 0.9 1.0 0.5 20
92 \ 0.0 0.1 0.6 20
93 ] 0.1 0.2 0.6 20
94 ^ 0.2 0.3 0.6 20
95 _ 0.3 0.4 0.6 20
96 ` 0.4 0.5 0.6 20
97 a 0.5 0.6 0.6 20
98 b 0.6 0.7 0.6 20
99 c 0.7 0.8 0.6 20
100 d 0.8 0.9 0.6 20
101 e 0.9 1.0 0.6 20
102 f 0.0 0.1 0.7 20
103 g 0.1 0.2 0.7 20
104 h 0.2 0.3 0.7 20
105 i 0.3 0.4 0.7 20
106 j 0.4 0.5 0.7 20
107 k 0.5 0.6 0.7 20
108 l 0.6 0.7 0.7 20
109 m 0.7 0.8 0.7 20
110 n 0.8 0.9 0.7 20
111 o 0.9 1.0 0.7 20
112 p 0.0 0.1 0.8 20
113 q 0.1 0.2 0.8 20
114 r 0.2 0.3 0.8 20
115 s 0.3 0.4 0.8 20
116 t 0.4 0.5 0.8 20
117 u 0.5 0.6 0.8 20
118 v 0.6 0.7 0.8 20
119 w 0.7 0.8 0.8 20
120 x 0.8 0.9 0.8 20
121 y 0.9 1.0 0.8 20
122 z 0.0 0.1 0.9 20
123 { 0.0 0.2 0.9 20
124 | 0.0 0.3 0.9 20
125 } 0.0 0.4 0.9 20
126 ~ 0.0 0.5 0.9 20
